repeat,mask_source,strategy,features,threshold,auc,accuracy,sensitivity,specificity,balanced_accuracy,precision,f1,tn,fp,fn,tp
5,kmeans,Bayes + SFS,H,-1.5833330575156843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.3918042986326356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,reference,Bayes + análisis,"a*,R,S",-2.0452751913604486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,reference,Bayes + SFS,G,3.164608701322816,1.0,0.9166666666666666,0.8333333333333334,1.0,0.9166666666666667,1.0,0.9090909090909091,6,0,1,5
5,reference,PCA + Bayes,"PC1,PC2,PC3",-3.588255721442988,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,kmeans_linear_hue,Bayes + análisis,"a*,G,R",-0.2608861723045788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,kmeans_linear_hue,Bayes + SFS,a*,0.04647781222519498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
5,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3,PC4",2.7944356364071075,0.9722222222222223,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,1,1,5
6,kmeans,Bayes + análisis,"H,G,S",-2.33017465752481,1.0,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
6,kmeans,Bayes + SFS,"H,B",0.15350793327432655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
6,kmeans,PCA + Bayes,"PC1,PC2,PC3",-1.8202910505971777,1.0,0.75,1.0,0.5,0.75,0.6666666666666666,0.8,3,3,0,6
6,reference,Bayes + análisis,"a*,R,S",-2.9035220917870417,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
6,reference,Bayes + SFS,G,-1.7491322521218233,1.0,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333333,0.75,0.8571428571428571,4,2,0,6
6,reference,PCA + Bayes,"PC1,PC2,PC3",-4.686024687011915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
6,kmeans_linear_hue,Bayes + análisis,"a*,S,H",0.2941625791243929,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
6,kmeans_linear_hue,Bayes + SFS,"G,S,a*,B",-3.846900936223668,0.9166666666666667,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6,0.7499999999999999,2,4,0,6
6,kmeans_linear_hue,PCA + Bayes,"PC1,PC2,PC3",-0.008909220646009075,0.9444444444444444,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666667,0.8571428571428571,0.923076923076923,5,1,0,6
7,kmeans,Bayes + análisis,"H,G,R",2.775367375174314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,kmeans,Bayes + SFS,"H,S",1.0273734841491269,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,kmeans,PCA + Bayes,"PC1,PC2,PC3",0.26403353585101996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,reference,Bayes + análisis,"a*,R,S",1.7687074821384225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,reference,Bayes + SFS,H,-0.9050276664936838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,reference,PCA + Bayes,"PC1,PC2,PC3",-3.2676086539665414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
7,kmeans_linear_hue,Bayes + análisis,"a*,R,H",9.580814970923921,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,6
